"","Ha1","Ha2","Ha3","Ctr1","Ctr2","Ctr3"
"PITA_19277",274,169,195,90,80,329
"PITA_36893",0,0,0,0,0,0
"PITA_43071",157,101,150,128,133,127
"PITA_31484",0,0,0,0,0,0
"PITA_22913",0,0,0,0,0,0
"PITA_43120",62,42,22,53,24,15
"PITA_19387",901,582,778,752,789,1249
"PITA_38886",42,48,67,47,44,80
"PITA_15089",469,289,347,413,359,399
"PITA_43425",2580,1697,2337,2742,1992,2978
"PITA_44438",7,7,14,8,4,10
"PITA_26651",81,77,78,84,50,73
"PITA_19182",448,242,305,430,402,425
"PITA_21018",0,0,0,9,0,0
"PITA_00738",0,1,0,3,1,8
"PITA_12881",1,0,1,3,0,0
"PITA_22837",32,0,48,29,47,21
"PITA_28084",15,6,11,2,4,3
"PITA_24393",606,386,491,490,501,806
"PITA_06390",30,15,39,20,9,15
"PITA_11122",5,6,1,1,10,3
"PITA_28325",5,5,5,2,2,5
"PITA_04421",776,503,819,744,574,799
"PITA_02148",835,603,870,808,838,1294
"PITA_46549",1,0,0,1,0,0
"PITA_33978",2,0,0,0,0,1
"PITA_27922",128,76,149,95,105,122
"PITA_17693",273,346,382,229,0,296
"PITA_45756",125,47,119,90,141,65
"PITA_04237",0,0,0,0,0,0
"PITA_10793",2,0,0,0,0,0
"PITA_45207",149,53,39,127,70,16
"PITA_38479",0,0,1,0,0,0
"PITA_40230",130,68,127,135,134,144
"PITA_41083",1,0,2,1,2,3
"PITA_01883",0,0,1,0,0,0
"PITA_15800",4,2,8,2,2,0
"PITA_36030",0,0,0,0,0,0
"PITA_10648",0,0,0,0,0,0
"PITA_03586",0,0,0,0,0,0
"PITA_07612",7,5,3,4,9,14
"PITA_38928",27,24,103,3,5,7
"PITA_19726",0,0,0,0,0,0
"PITA_26337",196,60,219,140,159,52
"PITA_43098",13416,9430,11825,12822,10059,14961
"PITA_14486",52,53,46,51,52,34
"PITA_38668",77,14,0,62,96,45
"PITA_50226",6,0,13,17,8,8
"PITA_15610",65,26,45,182,75,107
"PITA_26936",33,20,23,27,28,82
"PITA_15789",37,64,117,0,113,0
"PITA_02801",1418,914,963,1051,1016,1152
"PITA_31703",1,1,3,3,0,0
"PITA_12799",22,15,25,34,11,26
"PITA_19917",155,79,168,261,98,211
"PITA_41142",4,4,0,0,8,0
"PITA_21911",8,12,5,10,11,13
"PITA_14269",0,0,0,0,0,0
"PITA_19090",0,0,0,0,0,0
"PITA_45682",0,0,0,0,0,0
"PITA_04896",104,76,75,155,110,82
"PITA_01862",338,252,339,518,264,463
"PITA_19173",0,0,1,1,0,0
"PITA_49576",0,0,0,0,0,0
"PITA_20319",100,64,36,55,58,127
"PITA_36180",3,0,0,0,0,0
"PITA_24620",0,0,0,0,0,0
"PITA_18371",358,65,62,155,165,60
"PITA_48694",285,101,175,193,84,88
"PITA_38935",15,41,54,28,32,8
"PITA_40633",0,2,1,2,0,1
"PITA_38718",1,2,0,0,0,0
"PITA_22856",0,0,0,0,0,0
"PITA_00769",10,7,9,4,2,7
"PITA_09376",0,0,0,0,0,0
"PITA_16017",0,0,0,0,0,0
"PITA_12741",23,0,14,1,2,0
"PITA_48841",20,30,27,34,23,41
"PITA_01081",282,199,286,302,262,334
"PITA_21523",56,21,40,36,54,42
"PITA_20069",1,0,0,1,1,0
"PITA_12241",158,75,90,143,35,35
"PITA_04901",0,0,0,0,3,2
"PITA_34565",0,0,0,0,0,0
"PITA_35492",0,0,0,0,0,0
"PITA_39296",41,38,35,45,51,40
"PITA_46117",54,21,44,43,35,74
"PITA_41685",435,211,239,374,294,585
"PITA_31525",0,0,0,0,0,0
"PITA_40164",1395,791,1114,1211,965,1153
"PITA_18925",233,133,184,205,205,286
"PITA_30499",130,115,163,223,188,81
"PITA_08531",0,0,0,0,0,0
"PITA_16720",0,8,0,0,5,13
"PITA_08585",3,3,4,2,1,0
"PITA_38161",109,36,67,47,33,39
"PITA_33212",14,5,7,7,5,32
"PITA_26761",1644,1656,1472,913,734,1462
"PITA_20946",72,59,63,86,74,78
"PITA_27144",380,223,266,377,300,374
"PITA_13123",241,152,204,227,128,198
"PITA_36245",15,8,1,3,6,6
"PITA_19528",292,165,236,44,57,64
"PITA_40780",2,0,1,1,8,1
"PITA_31519",3,8,1,4,20,0
"PITA_18557",0,0,0,0,0,0
"PITA_29450",1,1,1,8,2,4
"PITA_33184",215,157,118,189,118,108
"PITA_01640",149,112,124,126,87,148
"PITA_11179",0,0,0,0,0,0
"PITA_35220",34,13,22,17,45,39
"PITA_39216",0,0,0,26,3,14
"PITA_15346",432,238,345,314,360,381
"PITA_22476",24,49,50,0,9,36
"PITA_15152",0,88,0,12,0,0
"PITA_24709",274,242,276,344,198,183
"PITA_20415",0,0,0,1,0,0
"PITA_47717",60,30,48,40,36,52
"PITA_01696",51,58,44,47,38,80
"PITA_39838",93,60,63,64,72,98
"PITA_47651",464,216,338,361,313,237
"PITA_30505",0,0,0,0,0,0
"PITA_40588",117,80,102,129,147,111
"PITA_31142",0,0,0,0,0,0
"PITA_25784",27,31,31,10,21,26
"PITA_21614",568,348,420,484,473,528
"PITA_04441",8,5,2,5,8,10
"PITA_28580",203,124,182,232,96,210
"PITA_09888",0,0,0,0,0,0
"PITA_46497",0,0,0,0,0,0
"PITA_03626",0,0,0,0,2,0
"PITA_50780",27,17,30,14,18,15
"PITA_42850",223,127,194,216,119,233
"PITA_04656",0,0,0,0,0,0
